a	0 a
boạt	b oat5
boạy	b oay5
boả	b oa3
boải	b oai3
boảm	b oam3
boản	b oan3
boảng	b oang3
boảnh	b oanh3
boảo	b oao3
boảy	b oay3
boắc	b oawc1
boắm	b oawm1
boắn	b oawn1
boắng	b oawng1
boắt	b oawt1
boằm	b oawm2
boằn	b oawn2
boằng	b oawng2
boẳm	b oawm3
boẳn	b oawn3
boẳng	b oawng3
boẵm	b oawm4
boẵn	b oawn4
boẵng	b oawng4
boặc	b oawc5
boặm	b oawm5
boặn	b oawn5
boặng	b oawng5
boặt	b oawt5
boẹ	b oe5
boẹm	b oem5
boẹn	b oen5
boẹo	b oeo5
boẹt	b oet5
boẻ	b oe3
boẻm	b oem3
boẻn	b oen3
boẻo	b oeo3
boẽ	b oe4
boẽm	b oem4
boẽn	b oen4
boẽo	b oeo4
boọc	b ooc5
boọng	b oong5
boỏng	b oong3
bu	b u
bua	b ua
bui	b ui
bum	b um
bun	b un
bung	b ung
buy	b uy
buya	b uya
buyn	b uyn
buynh	b uynh
buyu	b uyu
buyên	b uyeen
buyến	b uyeen1
buyết	b uyeet1
buyền	b uyeen2
buyển	b uyeen3
buyễn	b uyeen4
buyện	b uyeen5
buyệt	b uyeet5
buân	b uaan
buâng	b uaang
buây	b uaay
buê	b uee
buênh	b ueenh
buôi	b uobi
buôm	b uobm
buôn	b uobn
buông	b uobng
buý	b uy1
buýa	b uya1
buých	b uych1
buýn	b uyn1
buýnh	b uynh1
buýp	b uyp1
buýt	b uyt1
buýu	b uyu1
buơ	b uow
buấn	b uaan1
buấng	b uaang1
buất	b uaat1
buấy	b uaay1
buần	b uaan2
buầng	b uaang2
buầy	b uaay2
buẩn	b uaan3
buẩng	b uaang3
buẩy	b uaay3
buẫn	b uaan4
buẫng	b uaang4
buẫy	b uaay4
buận	b uaan5
buậng	b uaang5
buật	b uaat5
buậy	b uaay5
buế	b uee1
buếch	b ueech1
buếnh	b ueenh1
buề	b uee2
buềnh	b ueenh2
buể	b uee3
buểnh	b ueenh3
buễ	b uee4
buễnh	b ueenh4
buệ	b uee5
buệch	b ueech5
buệnh	b ueenh5
buốc	b uobc1
buối	b uobi1
buốm	b uobm1
buốn	b uobn1
buống	b uobng1
buốp	b uobp1
buốt	b uobt1
buồi	b uobi2
buồm	b uobm2
buồn	b uobn2
buồng	b uobng2
buổi	b uobi3
buổm	b uobm3
buổn	b uobn3
buổng	b uobng3
buỗi	b uobi4
buỗm	b uobm4
buỗn	b uobn4
buỗng	b uobng4
buộc	b uobc5
buội	b uobi5
buộm	b uobm5
buộn	b uobn5
buộng	b uobng5
buộp	b uobp5
buột	b uobt5
buớ	b uow1
buớc	b uowc1
buờ	b uow2
buở	b uow3
buỡ	b uow4
buợ	b uow5
buỳ	b uy2
buỳa	b uya2
buỳn	b uyn2
buỳnh	b uynh2
buỳu	b uyu2
buỵ	b uy5
buỵa	b uya5
buỵch	b uych5
buỵn	b uyn5
buỵnh	b uynh5
buỵp	b uyp5
buỵt	b uyt5
buỵu	b uyu5
buỷ	b uy3
buỷa	b uya3
buỷn	b uyn3
buỷnh	b uynh3
buỷu	b uyu3
buỹ	b uy4
buỹa	b uya4
buỹn	b uyn4
buỹnh	b uynh4
buỹu	b uyu4
by	b y
bà	b a2
bài	b ai2
bàm	b am2
bàn	b an2
bàng	b ang2
bành	b anh2
bào	b ao2
bàu	b au2
bày	b ay2
bá	b a1
bác	b ac1
bách	b ach1
bái	b ai1
bám	b am1
bán	b an1
báng	b ang1
bánh	b anh1
báo	b ao1
báp	b ap1
bát	b at1
báu	b au1
báy	b ay1
bâm	b aam
bân	b aan
bâng	b aang
bâu	b aau
bây	b aay
bã	b a4
bãi	b ai4
bãm	b am4
bãn	b an4
bãng	b ang4
bãnh	b anh4
bão	b ao4
bãu	b au4
bãy	b ay4
bè	b e2
bèm	b em2
bèn	b en2
bèng	b eng2
bèo	b eo2
bé	b e1
béc	b ec1
bém	b em1
bén	b en1
béng	b eng1
béo	b eo1
bép	b ep1
bét	b et1
bê	b ee
bêm	b eem
bên	b een
bênh	b eenh
bêu	b eeu
bì	b i2
bìa	b ia2
bìm	b im2
bìn	b in2
bình	b inh2
bìu	b iu2
bí	b i1
bía	b ia1
bíc	b ic1
bích	b ich1
bím	b im1
bín	b in1
bính	b inh1
bíp	b ip1
bít	b it1
bíu	b iu1
bò	b o2
bòi	b oi2
bòm	b om2
bòn	b on2
bòng	b ong2
bó	b o1
bóc	b oc1
bói	b oi1
bóm	b om1
bón	b on1
bóng	b ong1
bóp	b op1
bót	b ot1
bô	b ob
bôi	b obi
bôm	b obm
bôn	b obn
bông	b obng
bõ	b o4
bõi	b oi4
bõm	b om4
bõn	b on4
bõng	b ong4
bù	b u2
bùa	b ua2
bùi	b ui2
bùm	b um2
bùn	b un2
bùng	b ung2
bú	b u1
búa	b ua1
búc	b uc1
búi	b ui1
búm	b um1
bún	b un1
búng	b ung1
búp	b up1
bút	b ut1
bý	b y1
băm	b awm
băn	b awn
băng	b awng
bĩ	b i4
bĩa	b ia4
bĩm	b im4
bĩn	b in4
bĩnh	b inh4
bĩu	b iu4
bũ	b u4
bũa	b ua4
bũi	b ui4
bũm	b um4
bũn	b un4
bũng	b ung4
bơ	b ow
bơi	b owi
bơm	b owm
bơn	b own
bư	b uw
bưa	b uwa
bưi	b uwi
bưm	b uwm
bưn	b uwn
bưng	b uwng
bưu	b uwu
bươi	b uwowi
bươm	b uwowm
bươn	b uwown
bương	b uwowng
bươu	b uwowu
bước	b uwowc1
bưới	b uwowi1
bướm	b uwowm1
bướn	b uwown1
bướng	b uwowng1
bướp	b uwowp1
bướt	b uwowt1
bướu	b uwowu1
bười	b uwowi2
bườm	b uwowm2
bườn	b uwown2
bường	b uwowng2
bườu	b uwowu2
bưởi	b uwowi3
bưởm	b uwowm3
bưởn	b uwown3
bưởng	b uwowng3
bưởu	b uwowu3
bưỡi	b uwowi4
bưỡm	b uwowm4
bưỡn	b uwown4
bưỡng	b uwowng4
bưỡu	b uwowu4
bược	b uwowc5
bượi	b uwowi5
bượm	b uwowm5
bượn	b uwown5
bượng	b uwowng5
bượp	b uwowp5
bượt	b uwowt5
bượu	b uwowu5
bạ	b a5
bạc	b ac5
bạch	b ach5
bại	b ai5
bạm	b am5
bạn	b an5
bạng	b ang5
bạnh	b anh5
bạo	b ao5
bạp	b ap5
bạt	b at5
bạu	b au5
bạy	b ay5
bả	b a3
bải	b ai3
bảm	b am3
bản	b an3
bảng	b ang3
bảnh	b anh3
bảo	b ao3
bảu	b au3
bảy	b ay3
bấc	b aac1
bấm	b aam1
bấn	b aan1
bấng	b aang1
bấp	b aap1
bất	b aat1
bấu	b aau1
bấy	b aay1
bầm	b aam2
bần	b aan2
bầng	b aang2
bầu	b aau2
bầy	b aay2
bẩm	b aam3
bẩn	b aan3
bẩng	b aang3
bẩu	b aau3
bẩy	b aay3
bẫm	b aam4
bẫn	b aan4
bẫng	b aang4
bẫu	b aau4
bẫy	b aay4
bậc	b aac5
bậm	b aam5
bận	b aan5
bậng	b aang5
bập	b aap5
bật	b aat5
bậu	b aau5
bậy	b aay5
bắc	b awc1
bắm	b awm1
bắn	b awn1
bắng	b awng1
bắp	b awp1
bắt	b awt1
bằm	b awm2
bằn	b awn2
bằng	b awng2
bẳm	b awm3
bẳn	b awn3
bẳng	b awng3
bẵm	b awm4
bẵn	b awn4
bẵng	b awng4
bặc	b awc5
bặm	b awm5
bặn	b awn5
bặng	b awng5
bặp	b awp5
bặt	b awt5
bẹ	b e5
bẹc	b ec5
bẹm	b em5
bẹn	b en5
bẹng	b eng5
bẹo	b eo5
bẹp	b ep5
bẹt	b et5
bẻ	b e3
bẻm	b em3
bẻn	b en3
bẻng	b eng3
bẻo	b eo3
bẽ	b e4
bẽm	b em4
bẽn	b en4
bẽng	b eng4
bẽo	b eo4
bế	b ee1
bếch	b eech1
bếm	b eem1
bến	b een1
bếnh	b eenh1
bếp	b eep1
bết	b eet1
bếu	b eeu1
bề	b ee2
bềm	b eem2
bền	b een2
bềnh	b eenh2
bều	b eeu2
bể	b ee3
bểm	b eem3
bển	b een3
bểnh	b eenh3
bểu	b eeu3
bễ	b ee4
bễm	b eem4
bễn	b een4
bễnh	b eenh4
bễu	b eeu4
bệ	b ee5
bệch	b eech5
bệm	b eem5
bện	b een5
bệnh	b eenh5
bệp	b eep5
bệt	b eet5
bệu	b eeu5
bỉ	b i3
bỉa	b ia3
bỉm	b im3
bỉn	b in3
bỉnh	b inh3
bỉu	b iu3
bị	b i5
bịa	b ia5
bịch	b ich5
bịm	b im5
bịn	b in5
bịnh	b inh5
bịp	b ip5
bịt	b it5
bịu	b iu5
bọ	b o5
bọc	b oc5
bọi	b oi5
bọm	b om5
bọn	b on5
bọng	b ong5
bọp	b op5
bọt	b ot5
bỏ	b o3
bỏi	b oi3
bỏm	b om3
bỏn	b on3
bỏng	b ong3
bố	b ob1
bốc	b obc1
bối	b obi1
bốm	b obm1
bốn	b obn1
bống	b obng1
bốp	b obp1
bốt	b obt1
bồ	b ob2
bồi	b obi2
bồm	b obm2
bồn	b obn2
bồng	b obng2
bổ	b ob3
bổi	b obi3
bổm	b obm3
bổn	b obn3
bổng	b obng3
bỗ	b ob4
bỗi	b obi4
bỗm	b obm4
bỗn	b obn4
bỗng	b obng4
bộ	b ob5
bộc	b obc5
bội	b obi5
bộm	b obm5
bộn	b obn5
bộng	b obng5
bộp	b obp5
bột	b obt5
bớ	b ow1
bới	b owi1
bớm	b owm1
bớn	b own1
bớp	b owp1
bớt	b owt1
bờ	b ow2
bời	b owi2
bờm	b owm2
bờn	b own2
bở	b ow3
bởi	b owi3
bởm	b owm3
bởn	b own3
bỡ	b ow4
bỡi	b owi4
bỡm	b owm4
bỡn	b own4
bợ	b ow5
bợi	b owi5
bợm	b owm5
bợn	b own5
bợp	b owp5
bợt	b owt5
bụ	b u5
bụa	b ua5
bục	b uc5
bụi	b ui5
bụm	b um5
bụn	b un5
bụng	b ung5
bụp	b up5
bụt	b ut5
bủ	b u3
bủa	b ua3
bủi	b ui3
bủm	b um3
bủn	b un3
bủng	b ung3
bứ	b uw1
bứa	b uwa1
bức	b uwc1
bứi	b uwi1
bứm	b uwm1
bứn	b uwn1
bứng	b uwng1
bứt	b uwt1
bứu	b uwu1
bừ	b uw2
bừa	b uwa2
bừi	b uwi2
bừm	b uwm2
bừn	b uwn2
bừng	b uwng2
bừu	b uwu2
bử	b uw3
bửa	b uwa3
bửi	b uwi3
bửm	b uwm3
bửn	b uwn3
bửng	b uwng3
bửu	b uwu3
bữ	b uw4
bữa	b uwa4
bữi	b uwi4
bữm	b uwm4
bữn	b uwn4
bững	b uwng4
bữu	b uwu4
bự	b uw5
bựa	b uwa5
bực	b uwc5
bựi	b uwi5
bựm	b uwm5
bựn	b uwn5
bựng	b uwng5
bựt	b uwt5
bựu	b uwu5
bỳ	b y2
bỵ	b y5
bỷ	b y3
bỹ	b y4
ca	c a
cai	c ai
cam	c am
can	c an
cang	c ang
canh	c anh
cao	c ao
cau	c au
cay	c ay
cha	ch a
chai	ch ai
cham	ch am
chan	ch an
chang	ch ang
chanh	ch anh
chao	ch ao
chau	ch au
chay	ch ay
che	ch e
chem	ch em
chen	ch en
cheng	ch eng
cheo	ch eo
chi	ch i
chia	ch ia
chim	ch im
chin	ch in
chinh	ch inh
chiu	ch iu
chiêm	ch ieem
chiên	ch ieen
chiêng	ch ieeng
chiêu	ch ieeu
chiếc	ch ieec1
chiếm	ch ieem1
chiến	ch ieen1
chiếng	ch ieeng1
chiếp	ch ieep1
chiết	ch ieet1
chiếu	ch ieeu1
chiềm	ch ieem2
chiền	ch ieen2
chiềng	ch ieeng2
chiều	ch ieeu2
chiểm	ch ieem3
chiển	ch ieen3
chiểng	ch ieeng3
chiểu	ch ieeu3
chiễm	ch ieem4
chiễn	ch ieen4
chiễng	ch ieeng4
chiễu	ch ieeu4
chiệc	ch ieec5
chiệm	ch ieem5
chiện	ch ieen5
chiệng	ch ieeng5
chiệp	ch ieep5
chiệt	ch ieet5
chiệu	ch ieeu5
cho	ch o
choa	ch oa
choai	ch oai
choam	ch oam
choan	ch oan
choang	ch oang
choanh	ch oanh
choao	ch oao
choay	ch oay
choe	ch oe
choem	ch oem
choen	ch oen
choeo	ch oeo
choi	ch oi
chom	ch om
chon	ch on
chong	ch ong
choong	ch oong
choà	ch oa2
choài	ch oai2
choàm	ch oam2
choàn	ch oan2
choàng	ch oang2
choành	ch oanh2
choào	ch oao2
choày	ch oay2
choá	ch oa1
choác	ch oac1
choách	ch oach1
choái	ch oai1
choám	ch oam1
choán	ch oan1
choáng	ch oang1
choánh	ch oanh1
choáo	ch oao1
choáp	ch oap1
choát	ch oat1
choáy	ch oay1
choã	ch oa4
choãi	ch oai4
choãm	ch oam4
choãn	ch oan4
choãng	ch oang4
choãnh	ch oanh4
choão	ch oao4
choãy	ch oay4
choè	ch oe2
choèm	ch oem2
choèn	ch oen2
choèo	ch oeo2
choé	ch oe1
choém	ch oem1
choén	ch oen1
choéo	ch oeo1
choét	ch oet1
choòng	ch oong2
choóc	ch ooc1
choóng	ch oong1
choõng	ch oong4
choăm	ch oawm
choăn	ch oawn
choăng	ch oawng
choạ	ch oa5
choạc	ch oac5
choạch	ch oach5
choại	ch oai5
choạm	ch oam5
choạn	ch oan5
choạng	ch oang5
choạnh	ch oanh5
choạo	ch oao5
choạp	ch oap5
choạt	ch oat5
choạy	ch oay5
choả	ch oa3
choải	ch oai3
choảm	ch oam3
choản	ch oan3
choảng	ch oang3
choảnh	ch oanh3
choảo	ch oao3
choảy	ch oay3
choắc	ch oawc1
choắm	ch oawm1
choắn	ch oawn1
choắng	ch oawng1
choắt	ch oawt1
choằm	ch oawm2
choằn	ch oawn2
choằng	ch oawng2
choẳm	ch oawm3
choẳn	ch oawn3
choẳng	ch oawng3
choẵm	ch oawm4
choẵn	ch oawn4
choẵng	ch oawng4
choặc	ch oawc5
choặm	ch oawm5
choặn	ch oawn5
choặng	ch oawng5
choặt	ch oawt5
choẹ	ch oe5
choẹm	ch oem5
choẹn	ch oen5
choẹo	ch oeo5
choẹt	ch oet5
choẻ	ch oe3
choẻm	ch oem3
choẻn	ch oen3
choẻo	ch oeo3
choẽ	ch oe4
choẽm	ch oem4
choẽn	ch oen4
choẽo	ch oeo4
choọc	ch ooc5
choọng	ch oong5
choỏng	ch oong3
chu	ch u
chua	ch ua
chui	ch ui
chum	ch um
chun	ch un
chung	ch ung
chuy	ch uy
chuya	ch uya
chuyn	ch uyn
chuynh	ch uynh
chuyu	ch uyu
chuyên	ch uyeen
chuyến	ch uyeen1
chuyết	ch uyeet1
chuyền	ch uyeen2
chuyển	ch uyeen3
chuyễn	ch uyeen4
chuyện	ch uyeen5
chuyệt	ch uyeet5
chuân	ch uaan
chuâng	ch uaang
chuây	ch uaay
chuê	ch uee
chuênh	ch ueenh
chuôi	ch uobi
chuôm	ch uobm
chuôn	ch uobn
chuông	ch uobng
chuý	ch uy1
chuýa	ch uya1
chuých	ch uych1
chuýn	ch uyn1
chuýnh	ch uynh1
chuýp	ch uyp1
chuýt	ch uyt1
chuýu	ch uyu1
chuơ	ch uow
chuấn	ch uaan1
chuấng	ch uaang1
chuất	ch uaat1
chuấy	ch uaay1
chuần	ch uaan2
chuầng	ch uaang2
chuầy	ch uaay2
chuẩn	ch uaan3
chuẩng	ch uaang3
chuẩy	ch uaay3
chuẫn	ch uaan4
chuẫng	ch uaang4
chuẫy	ch uaay4
chuận	ch uaan5
chuậng	ch uaang5
chuật	ch uaat5
chuậy	ch uaay5
chuế	ch uee1
chuếch	ch ueech1
chuếnh	ch ueenh1
chuề	ch uee2
chuềnh	ch ueenh2
chuể	ch uee3
chuểnh	ch ueenh3
chuễ	ch uee4
chuễnh	ch ueenh4
chuệ	ch uee5
chuệch	ch ueech5
chuệnh	ch ueenh5
chuốc	ch uobc1
chuối	ch uobi1
chuốm	ch uobm1
chuốn	ch uobn1
chuống	ch uobng1
chuốp	ch uobp1
chuốt	ch uobt1
chuồi	ch uobi2
chuồm	ch uobm2
chuồn	ch uobn2
chuồng	ch uobng2
chuổi	ch uobi3
chuổm	ch uobm3
chuổn	ch uobn3
chuổng	ch uobng3
chuỗi	ch uobi4
chuỗm	ch uobm4
chuỗn	ch uobn4
chuỗng	ch uobng4
chuộc	ch uobc5
chuội	ch uobi5
chuộm	ch uobm5
chuộn	ch uobn5
chuộng	ch uobng5
chuộp	ch uobp5
chuột	ch uobt5
chuớ	ch uow1
chuờ	ch uow2
chuở	ch uow3
chuỡ	ch uow4
chuợ	ch uow5
chuỳ	ch uy2
chuỳa	ch uya2
chuỳn	ch uyn2
chuỳnh	ch uynh2
chuỳu	ch uyu2
chuỵ	ch uy5
chuỵa	ch uya5
chuỵch	ch uych5
chuỵn	ch uyn5
chuỵnh	ch uynh5
chuỵp	ch uyp5
chuỵt	ch uyt5
chuỵu	ch uyu5
chuỷ	ch uy3
chuỷa	ch uya3
chuỷn	ch uyn3
chuỷnh	ch uynh3
chuỷu	ch uyu3
chuỹ	ch uy4
chuỹa	ch uya4
chuỹn	ch uyn4
chuỹnh	ch uynh4
chuỹu	ch uyu4
chy	ch y
chà	ch a2
chài	ch ai2
chàm	ch am2
chàn	ch an2
chàng	ch ang2
chành	ch anh2
chào	ch ao2
chàu	ch au2
chày	ch ay2
chá	ch a1
chác	ch ac1
chách	ch ach1
chái	ch ai1
chám	ch am1
chán	ch an1
cháng	ch ang1
chánh	ch anh1
cháo	ch ao1
cháp	ch ap1
chát	ch at1
cháu	ch au1
cháy	ch ay1
châm	ch aam
chân	ch aan
châng	ch aang
châu	ch aau
chây	ch aay
chã	ch a4
chãi	ch ai4
chãm	ch am4
chãn	ch an4
chãng	ch ang4
chãnh	ch anh4
chão	ch ao4
chãu	ch au4
chãy	ch ay4
chè	ch e2
chèm	ch em2
chèn	ch en2
chèng	ch eng2
chèo	ch eo2
ché	ch e1
chéc	ch ec1
chém	ch em1
chén	ch en1
chéng	ch eng1
chéo	ch eo1
chép	ch ep1
chét	ch et1
chê	ch ee
chêm	ch eem
chên	ch een
chênh	ch eenh
chêu	ch eeu
chì	ch i2
chìa	ch ia2
chìm	ch im2
chìn	ch in2
chình	ch inh2
chìu	ch iu2
chí	ch i1
chía	ch ia1
chích	ch ich1
chím	ch im1
chín	ch in1
chính	ch inh1
chíp	ch ip1
chít	ch it1
chíu	ch iu1
chò	ch o2
chòe	ch oe2
chòi	ch oi2
chòm	ch om2
chòn	ch on2
chòng	ch ong2
chó	ch o1
chóa	ch oa1
chóc	ch oc1
chóe	ch oe1
chói	ch oi1
chóm	ch om1
chón	ch on1
chóng	ch ong1
chóp	ch op1
chót	ch ot1
chô	ch ob
chôi	ch obi
chôm	ch obm
chôn	ch obn
chông	ch obng
chõ	ch o4
chõi	ch oi4
chõm	ch om4
chõn	ch on4
chõng	ch ong4
chù	ch u2
chùa	ch ua2
chùi	ch ui2
chùm	ch um2
chùn	ch un2
chùng	ch ung2
chùy	ch uy2
chú	ch u1
chúa	ch ua1
chúc	ch uc1
chúi	ch ui1
chúm	ch um1
chún	ch un1
chúng	ch ung1
chúp	ch up1
chút	ch ut1
chúy	ch uy1
chý	ch y1
chăm	ch awm
chăn	ch awn
chăng	ch awng
chĩ	ch i4
chĩa	ch ia4
chĩm	ch im4
chĩn	ch in4
chĩnh	ch inh4
chĩu	ch iu4
chũ	ch u4
chũa	ch ua4
chũi	ch ui4
chũm	ch um4
chũn	ch un4
chũng	ch ung4
chơ	ch ow
chơi	ch owi
chơm	ch owm
chơn	ch own
chư	ch uw
chưa	ch uwa
chưi	ch uwi
chưm	ch uwm
chưn	ch uwn
chưng	ch uwng
chưu	ch uwu
chươi	ch uwowi
chươm	ch uwowm
chươn	ch uwown
chương	ch uwowng
chươu	ch uwowu
chước	ch uwowc1
chưới	ch uwowi1
chướm	ch uwowm1
chướn	ch uwown1
chướng	ch uwowng1
chướp	ch uwowp1
chướt	ch uwowt1
chướu	ch uwowu1
chười	ch uwowi2
chườm	ch uwowm2
chườn	ch uwown2
chường	ch uwowng2
chườu	ch uwowu2
chưởi	ch uwowi3
chưởm	ch uwowm3
chưởn	ch uwown3
chưởng	ch uwowng3
chưởu	ch uwowu3
chưỡi	ch uwowi4
chưỡm	ch uwowm4
chưỡn	ch uwown4
chưỡng	ch uwowng4
chưỡu	ch uwowu4
chược	ch uwowc5
chượi	ch uwowi5
chượm	ch uwowm5
chượn	ch uwown5
chượng	ch uwowng5
chượp	ch uwowp5
chượt	ch uwowt5
chượu	ch uwowu5
chạ	ch a5
chạc	ch ac5
chạch	ch ach5
chại	ch ai5
chạm	ch am5
chạn	ch an5
chạng	ch ang5
chạnh	ch anh5
chạo	ch ao5
chạp	ch ap5
chạt	ch at5
chạu	ch au5
chạy	ch ay5
chả	ch a3
chải	ch ai3
chảm	ch am3
chản	ch an3
chảng	ch ang3
chảnh	ch anh3
chảo	ch ao3
chảu	ch au3
chảy	ch ay3
chấc	ch aac1
chấm	ch aam1
chấn	ch aan1
chấng	ch aang1
chấp	ch aap1
chất	ch aat1
chấu	ch aau1
chấy	ch aay1
chầm	ch aam2
chần	ch aan2
chầng	ch aang2
chầu	ch aau2
chầy	ch aay2
chẩm	ch aam3
chẩn	ch aan3
chẩng	ch aang3
chẩu	ch aau3
chẩy	ch aay3
chẫm	ch aam4
chẫn	ch aan4
chẫng	ch aang4
chẫu	ch aau4
chẫy	ch aay4
chậc	ch aac5
chậm	ch aam5
chận	ch aan5
chậng	ch aang5
chập	ch aap5
chật	ch aat5
chậu	ch aau5
chậy	ch aay5
chắc	ch awc1
chắm	ch awm1
chắn	ch awn1
chắng	ch awng1
chắp	ch awp1
chắt	ch awt1
chằm	ch awm2
chằn	ch awn2
chằng	ch awng2
chẳm	ch awm3
chẳn	ch awn3
chẳng	ch awng3
chẵm	ch awm4
chẵn	ch awn4
chẵng	ch awng4
chặc	ch awc5
chặm	ch awm5
chặn	ch awn5
chặng	ch awng5
chặp	ch awp5
chặt	ch awt5
chẹ	ch e5
chẹc	ch ec5
chẹm	ch em5
chẹn	ch en5
chẹng	ch eng5
chẹo	ch eo5
chẹp	ch ep5
chẹt	ch et5
chẻ	ch e3
chẻm	ch em3
chẻn	ch en3
chẻng	ch eng3
chẻo	ch eo3
chẽ	ch e4
chẽm	ch em4
chẽn	ch en4
chẽng	ch eng4
chẽo	ch eo4
chế	ch ee1
chếch	ch eech1
chếm	ch eem1
chến	ch een1
chếnh	ch eenh1
chếp	ch eep1
chết	ch eet1
chếu	ch eeu1
chề	ch ee2
chềm	ch eem2
chền	ch een2
chềnh	ch eenh2
chều	ch eeu2
chể	ch ee3
chểm	ch eem3
chển	ch een3
chểnh	ch eenh3
chểu	ch eeu3
chễ	ch ee4
chễm	ch eem4
chễn	ch een4
chễnh	ch eenh4
chễu	ch eeu4
chệ	ch ee5
chệch	ch eech5
chệm	ch eem5
chện	ch een5
chệnh	ch eenh5
chệp	ch eep5
chệt	ch eet5
chệu	ch eeu5
chỉ	ch i3
chỉa	ch ia3
chỉm	ch im3
chỉn	ch in3
chỉnh	ch inh3
chỉu	ch iu3
chị	ch i5
chịa	ch ia5
chịch	ch ich5
chịm	ch im5
chịn	ch in5
chịnh	ch inh5
chịp	ch ip5
chịt	ch it5
chịu	ch iu5
chọ	ch o5
chọc	ch oc5
chọe	ch oe5
chọi	ch oi5
chọm	ch om5
chọn	ch on5
chọng	ch ong5
chọp	ch op5
chọt	ch ot5
chỏ	ch o3
chỏi	ch oi3
chỏm	ch om3
chỏn	ch on3
chỏng	ch ong3
chố	ch ob1
chốc	ch obc1
chối	ch obi1
chốm	ch obm1
chốn	ch obn1
chống	ch obng1
chốp	ch obp1
chốt	ch obt1
chồ	ch ob2
chồi	ch obi2
chồm	ch obm2
chồn	ch obn2
chồng	ch obng2
chổ	ch ob3
chổi	ch obi3
chổm	ch obm3
chổn	ch obn3
chổng	ch obng3
chỗ	ch ob4
chỗi	ch obi4
chỗm	ch obm4
chỗn	ch obn4
chỗng	ch obng4
chộ	ch ob5
chộc	ch obc5
chội	ch obi5
chộm	ch obm5
chộn	ch obn5
chộng	ch obng5
chộp	ch obp5
chột	ch obt5
chớ	ch ow1
chới	ch owi1
chớm	ch owm1
chớn	ch own1
chớp	ch owp1
chớt	ch owt1
chờ	ch ow2
chời	ch owi2
chờm	ch owm2
chờn	ch own2
chở	ch ow3
chởi	ch owi3
chởm	ch owm3
chởn	ch own3
chỡ	ch ow4
chỡi	ch owi4
chỡm	ch owm4
chỡn	ch own4
chợ	ch ow5
chợi	ch owi5
chợm	ch owm5
chợn	ch own5
chợp	ch owp5
chợt	ch owt5
chụ	ch u5
chụa	ch ua5
chục	ch uc5
chụi	ch ui5
chụm	ch um5
chụn	ch un5
chụng	ch ung5
chụp	ch up5
chụt	ch ut5
chủ	ch u3
chủa	ch ua3
chủi	ch ui3
chủm	ch um3
chủn	ch un3
chủng	ch ung3
chủy	ch uy3
chứ	ch uw1
chứa	ch uwa1
chức	ch uwc1
chứi	ch uwi1
chứm	ch uwm1
chứn	ch uwn1
chứng	ch uwng1
chứt	ch uwt1
chứu	ch uwu1
chừ	ch uw2
chừa	ch uwa2
chừi	ch uwi2
chừm	ch uwm2
chừn	ch uwn2
chừng	ch uwng2
chừu	ch uwu2
chử	ch uw3
chửa	ch uwa3
chửi	ch uwi3
chửm	ch uwm3
chửn	ch uwn3
chửng	ch uwng3
chửu	ch uwu3
chữ	ch uw4
chữa	ch uwa4
chữi	ch uwi4
